"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,20349,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20349/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20350,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20350/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20347,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20347/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20343,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20343/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20348,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20348/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20345,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20345/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20346,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20346/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20351,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/20351/","CONCEPT-SET",,,
"Concept","PIH","PIH",,14484,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20227/","/orgs/PIH/sources/PIH/concepts/14484/","CONCEPT-SET",,,
