"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,20398,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20398/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20396,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20396/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20394,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20394/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20397,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20397/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20400,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20400/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20401,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20401/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20399,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20399/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20395,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20395/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20393,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20233/","/orgs/PIH/sources/PIH/concepts/20393/","CONCEPT-SET",,,
