"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,7513,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/7513/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20295,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20295/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20296,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20296/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20294,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20294/","CONCEPT-SET",,,
"Concept","PIH","PIH",,10010,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/10010/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20298,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20298/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20297,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20297/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20299,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20299/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20300,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20220/","/orgs/PIH/sources/PIH/concepts/20300/","CONCEPT-SET",,,
